year,individualCount,gemeente,provincie,gewest,gbifID,decimalLatitude,decimalLongitude,geometry
2017,1,Opzullik,Henegouwen,wallonia,2610183284,50.689281,3.938446,"c(3.938446, 50.689281)"
2001,1,Tessenderlo,Limburg,flanders,2610183347,51.068233,5.05785,"c(5.05785, 51.068233)"
2003,1,Herselt,Antwerpen,flanders,2610183352,51.072495,4.923133,"c(4.923133, 51.072495)"
2005,4,Heist-Op-Den-Berg,Antwerpen,flanders,2610183441,51.080064,4.747147,"c(4.747147, 51.080064)"
2001,1,Nijlen,Antwerpen,flanders,2610183511,51.139677,4.667035,"c(4.667035, 51.139677)"
2002,1,Herentals,Antwerpen,flanders,2610183619,51.187332,4.83432,"c(4.83432, 51.187332)"
2005,3,Tongeren,Limburg,flanders,2610183881,50.757868,5.471024,"c(5.471024, 50.757868)"
2004,4,Wuustwezel,Antwerpen,flanders,2610184007,51.421732,4.611847,"c(4.611847, 51.421732)"
2014,1,Pepingen,Vlaams-Brabant,flanders,2610184147,50.726603,4.152394,"c(4.152394, 50.726603)"
2017,1,Menen,West-Vlaanderen,flanders,2610184271,50.790886,3.108345,"c(3.108345, 50.790886)"
2005,2,Heist-Op-Den-Berg,Antwerpen,flanders,2610184378,51.080064,4.747147,"c(4.747147, 51.080064)"
2003,1,Kasterlee,Antwerpen,flanders,2610184599,51.247098,4.919201,"c(4.919201, 51.247098)"
2001,3,Lille,Antwerpen,flanders,2610184610,51.265589,4.877001,"c(4.877001, 51.265589)"
2002,1,Lommel,Limburg,flanders,2610184833,51.240976,5.278595,"c(5.278595, 51.240976)"
2014,1,Huldenberg,Vlaams-Brabant,flanders,2610185140,50.76807,4.621548,"c(4.621548, 50.76807)"
2003,4,Herselt,Antwerpen,flanders,2610185311,51.072495,4.923133,"c(4.923133, 51.072495)"
2008,3,Begijnendijk,Vlaams-Brabant,flanders,2610185360,51.014373,4.789821,"c(4.789821, 51.014373)"
2002,3,Berlaar,Antwerpen,flanders,2610185422,51.109682,4.65571,"c(4.65571, 51.109682)"
2001,1,Geel,Antwerpen,flanders,2610185553,51.195517,4.973135,"c(4.973135, 51.195517)"
2002,1,Olen,Antwerpen,flanders,2610185571,51.172372,4.890905,"c(4.890905, 51.172372)"
